ODPA-AP6F-ODPA-PEG1500 (40%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc 2 step,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc,,,,ODPA-AP6F-ODPA-PEG6000 (50%) DMAc,,
0.2533,43119.75612,12935.92684,25871.85367,0.279205,36189.884,47046.8492,,0.288022,17238.03983,4826.651153,,0.285083,28561.12068,14280.56034,57122.24136,0.279205,107260.6815,71864.65659,,0.285083,25163.09476,10065.2379,,0.243891,46199.18487,22175.60874,,0.56530166,872.5352202,8725.352202,,0.252754,329012.799,427716.6387
0.25628,43090.89661,12927.26898,25854.53796,0.282144,36802.97154,47843.863,,0.290961,17592.48078,4925.894618,,0.288022,28633.33463,14316.66731,57266.66926,0.282144,108486.921,72686.23704,,0.288022,24847.08905,9938.835622,,0.246902,46166.90877,22160.11621,,0.57420403,865.2866074,8652.866074,,0.255693,325343.702,422946.8126
0.25926,42874.70332,12862.411,25724.82199,0.285083,37124.51953,48261.87539,,0.2939,17435.99253,4882.077908,,0.290961,29123.84912,14561.92456,58247.69824,0.285083,108995.4165,73026.92904,,0.290961,24784.90054,9913.960215,,0.249913,46599.0982,22367.56714,,0.58310643,879.1716579,8791.716579,,0.258632,321191.1732,417548.5252
0.26224,43235.00648,12970.50195,25941.00389,0.288022,37422.34186,48649.04442,,0.296839,17494.4733,4898.452524,,0.2939,29679.44812,14839.72406,59358.89624,0.288022,109652.127,73466.92509,,0.2939,25253.55414,10101.42165,,0.252924,47379.041,22741.93968,,0.59200883,868.3923537,8683.923537,,0.261571,315732.3377,410452.039
0.26522,43287.57559,12986.27268,25972.54536,0.290961,38177.88252,49631.24727,,0.299778,17382.78112,4867.178714,,0.296839,29580.16511,14790.08255,59160.33022,0.290961,111001.441,74370.96547,,0.296839,25016.73673,10006.69469,,0.255935,47526.97451,22812.94777,,0.60091119,873.4858544,8734.858544,,0.26451,311912.7009,405486.5111
0.2682,43439.93594,13031.98078,26063.96156,0.2939,38985.51191,50681.16548,,0.302717,17461.64564,4889.260779,,0.299778,30148.87103,15074.43551,60297.74206,0.2939,112413.6376,75317.1372,,0.299778,25311.74614,10124.69845,,0.258946,47585.25725,22840.92348,,0.60981359,884.0286672,8840.286672,,0.267449,308496.0615,401044.8799
0.27118,43129.60138,12938.88041,25877.76083,0.296839,39277.07897,51060.20266,,0.305656,17217.81147,4820.987213,,0.302717,30541.7598,15270.8799,61083.51959,0.296839,113313.1895,75919.83694,,0.302717,25002.7633,10001.10532,,0.261957,48216.40823,23143.87595,,0.61871599,883.6724759,8836.724759,,0.270388,304145.1733,395388.7252
0.27416,43351.7338,13005.52014,26011.04028,0.299778,40255.54262,52332.20541,,0.308595,17283.40158,4839.352443,,0.305656,30747.64706,15373.82353,61495.29413,0.299778,115070.7329,77097.39102,,0.305656,24997.77012,9999.108049,,0.264968,48791.21804,23419.78466,,0.62761836,884.0234106,8840.234106,,0.273327,300902.3726,391173.0844
0.27714,43683.69488,13105.10847,26210.21693,0.302717,40517.15206,52672.29768,,0.311534,17514.98273,4904.195164,,0.308595,31306.19474,15653.09737,62612.38948,0.302717,116101.748,77788.17118,,0.308595,24618.89524,9847.558095,,0.267979,49155.14282,23594.46856,,0.63652076,881.9631527,8819.631527,,0.276266,295965.2759,384754.8587
0.28012,43699.29973,13109.78992,26219.57984,0.305656,41089.63697,53416.52806,,0.314473,17495.31551,4898.688344,,0.311534,31669.80419,15834.90209,63339.60838,0.305656,117364.6564,78634.31981,,0.311534,24814.34106,9925.736424,,0.27099,49789.49136,23898.95585,,0.64542316,877.0252407,8770.252407,,0.279205,292779.2909,380613.0781
0.2831,44153.98392,13246.19518,26492.39035,0.308595,42120.78936,54757.02617,,0.317412,17389.64523,4869.100664,,0.314473,32135.35565,16067.67782,64270.7113,0.308595,118429.8246,79347.98246,,0.314473,24431.06724,9772.426898,,0.274001,50095.22684,24045.70888,,0.65432556,871.0937592,8710.937592,,0.282144,289075.1087,375797.6412
0.28608,44328.329,13298.4987,26596.9974,0.311534,43112.34327,56046.04625,,0.320351,17380.57378,4866.56066,,0.317412,32232.30968,16116.15484,64464.61936,0.311534,120308.6268,80606.77992,,0.317412,24646.73766,9858.695065,,0.277012,50751.27371,24360.61138,,0.66322789,905.0590733,9050.590733,,0.285083,285059.7011,370577.6114
0.28906,44678.71178,13403.61354,26807.22707,0.314473,43975.50342,57168.15445,,0.32329,17391.55019,4869.634054,,0.320351,32903.64936,16451.82468,65807.29872,0.314473,122079.9991,81793.59938,,0.320351,24922.89996,9969.159983,,0.280023,51283.02832,24615.8536,,0.67213029,919.7155062,9197.155062,,0.288022,280813.1974,365057.1567
0.29204,44688.83839,13406.65152,26813.30304,0.317412,44664.68133,58064.08572,,0.326229,17308.03592,4846.250057,,0.32329,33155.18346,16577.59173,66310.36693,0.317412,122895.7044,82340.12192,,0.32329,24931.45925,9972.5837,,0.283034,52037.97599,24978.22848,,0.68103269,896.3364115,8963.364115,,0.290961,277054.1762,360170.429
0.29502,44915.49103,13474.64731,26949.29462,0.320351,45394.34231,59012.645,,0.329168,17201.93519,4816.541852,,0.326229,33680.41613,16840.20807,67360.83227,0.320351,124503.6942,83417.47514,,0.326229,24728.1475,9891.259001,,0.286045,52665.69998,25279.53599,,0.68993509,913.2651104,9132.651104,,0.2939,273108.6301,355041.2191
0.298,45298.01554,13589.40466,27178.80933,0.32329,46531.21392,60490.5781,,0.332107,17076.63121,4781.456738,,0.329168,34117.53936,17058.76968,68235.07871,0.32329,126048.846,84452.72681,,0.329168,24736.88753,9894.755013,,0.289056,53515.85289,25687.60939,,0.69883749,902.9192172,9029.192172,,0.296839,269941.2517,350923.6272
